x,y,xvel,yvel
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,0,0
-2062,1958,-296,1
-2062,1958,-383,-284
-2063,1957,-297,-318
-2063,1957,-269,-328
-2063,1957,-264,-334
-2063,1956,-314,-372
-2064,1956,-161,-159
-2064,1955,-196,-152
-2066,1954,-514,-153
-2067,1953,-571,-133
-2069,1953,-631,-382
-2071,1952,-443,-135
-2073,1951,-490,-145
-2076,1951,-798,-149
-2079,1950,-790,-166
-2081,1949,-570,-180
-2082,1948,-537,-180
-2084,1947,-165,-175
-2084,1947,-218,21
-2086,1947,-633,-368
-2088,1946,-605,-361
-2090,1946,-586,-375
-2091,1945,-578,-129
-2093,1944,-580,-137
-2095,1944,-584,-156
-2096,1943,-588,-165
-2098,1942,-585,-173
-2099,1941,-520,-152
-2100,1941,-291,-286
-2100,1941,-319,-327
-2101,1940,-335,-348
-2101,1939,-305,-549
-2101,1938,-240,-592
-2102,1936,62,-383
-2102,1935,-379,-142
-2103,1935,-151,-381
-2104,1934,-212,-239
-2105,1933,-215,-206
-2107,1932,-616,-325
-2109,1932,-573,-302
-2111,1932,-569,-268
-2112,1932,-561,-261
-2114,1932,-530,-257
-2114,1932,-376,23
-2115,1932,-241,24
-2116,1932,-202,20
-2117,1932,-188,25
-2118,1932,-187,21
-2119,1933,-178,26
-2120,1932,-353,-155
-2121,1932,-593,-274
-2122,1932,-240,23
-2124,1932,-547,-107
-2125,1933,-526,-52
-2126,1934,-240,25
-2128,1935,-243,318
-2129,1936,-192,365
-2130,1938,-192,185
-2131,1941,-176,190
-2132,1943,-178,214
-2132,1945,-167,515
-2133,1948,-142,568
-2134,1951,-131,417
-2134,1954,118,593
-2133,1956,-124,-30
-2133,1957,-70,-318
-2132,1958,56,-55
-2132,1959,-261,-32
-2131,1961,290,152
-2130,1963,367,364
-2128,1965,213,329
-2125,1966,578,260
-2123,1967,-64,-105
-2121,1968,588,80
-2117,1968,426,-262
-2114,1968,537,-324
-2113,1968,-245,-76
-2113,1967,78,-380
-2112,1966,326,-552
-2109,1964,200,-631
-2107,1962,227,-558
-2105,1961,290,-563
-2102,1960,607,-515
-2100,1959,190,-189
-2097,1958,199,-360
-2095,1957,236,-276
-2093,1958,228,52
-2090,1958,536,-56
-2088,1959,169,-78
-2086,1960,325,-97
-2085,1961,-73,127
-2084,1961,-84,118
-2083,1962,-82,118
-2082,1963,301,-100
-2080,1963,269,115
-2079,1964,329,108
-2078,1965,-108,-4
-2076,1966,211,-79
-2074,1967,374,-127
-2072,1967,357,106
-2071,1968,124,-259
-2070,1968,-99,103
-2068,1968,139,-272
-2067,1968,-43,-305
-2066,1968,-5,-129
-2065,1967,-14,-161
-2063,1966,-102,93
-2062,1966,-23,-302
-2061,1965,-52,-584
-2061,1963,79,-816
-2060,1960,7,-830
-2060,1958,-262,-445
-2061,1956,-333,-517
-2061,1954,-142,-506
-2062,1951,-377,-856
-2062,1948,-339,-882
-2063,1945,-312,-868
-2063,1942,-260,-837
-2063,1939,37,-864
-2062,1936,90,-882
-2062,1933,124,-890
-2061,1930,-77,-703
-2060,1926,-65,-707
-2059,1923,302,-781
